[2024-07-08T00:29:37.221+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-08T00:29:37.229+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: podcast_summary.download_episodes scheduled__2024-07-07T00:00:00+00:00 [queued]>
[2024-07-08T00:29:37.233+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: podcast_summary.download_episodes scheduled__2024-07-07T00:00:00+00:00 [queued]>
[2024-07-08T00:29:37.233+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-07-08T00:29:37.237+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): download_episodes> on 2024-07-07 00:00:00+00:00
[2024-07-08T00:29:37.240+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=24148) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-07-08T00:29:37.241+0000] {standard_task_runner.py:63} INFO - Started process 24152 to run task
[2024-07-08T00:29:37.242+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'podcast_summary', 'download_episodes', 'scheduled__2024-07-07T00:00:00+00:00', '--job-id', '170', '--raw', '--subdir', 'DAGS_FOLDER/podcast_summary.py', '--cfg-path', '/tmp/tmpjnurimq3']
[2024-07-08T00:29:37.244+0000] {standard_task_runner.py:91} INFO - Job 170: Subtask download_episodes
[2024-07-08T00:29:37.264+0000] {task_command.py:426} INFO - Running <TaskInstance: podcast_summary.download_episodes scheduled__2024-07-07T00:00:00+00:00 [running]> on host 4f6b501c5f6b
[2024-07-08T00:29:37.300+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='podcast_summary' AIRFLOW_CTX_TASK_ID='download_episodes' AIRFLOW_CTX_EXECUTION_DATE='2024-07-07T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-07T00:00:00+00:00'
[2024-07-08T00:29:37.301+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-08T00:29:37.309+0000] {podcast_summary.py:66} INFO - dags/episodes/whys-my-coffee-so-expensive.mp3
[2024-07-08T00:29:37.309+0000] {podcast_summary.py:64} INFO - for-female-workers-an-ailing-feeling-about-financial-health.mp3
[2024-07-08T00:29:37.309+0000] {podcast_summary.py:66} INFO - dags/episodes/for-female-workers-an-ailing-feeling-about-financial-health.mp3
[2024-07-08T00:29:37.309+0000] {podcast_summary.py:64} INFO - bad-housing-news-comes-in-threes.mp3
[2024-07-08T00:29:37.310+0000] {podcast_summary.py:66} INFO - dags/episodes/bad-housing-news-comes-in-threes.mp3
[2024-07-08T00:29:37.310+0000] {podcast_summary.py:64} INFO - accommodations-for-long-covid.mp3
[2024-07-08T00:29:37.310+0000] {podcast_summary.py:66} INFO - dags/episodes/accommodations-for-long-covid.mp3
[2024-07-08T00:29:37.310+0000] {podcast_summary.py:64} INFO - the-complexity-of-succession-planning.mp3
[2024-07-08T00:29:37.310+0000] {podcast_summary.py:66} INFO - dags/episodes/the-complexity-of-succession-planning.mp3
[2024-07-08T00:29:37.310+0000] {podcast_summary.py:64} INFO - the-future-of-dining.mp3
[2024-07-08T00:29:37.310+0000] {podcast_summary.py:66} INFO - dags/episodes/the-future-of-dining.mp3
[2024-07-08T00:29:37.310+0000] {podcast_summary.py:64} INFO - the-granddaddy-of-all-stock-indices.mp3
[2024-07-08T00:29:37.311+0000] {podcast_summary.py:66} INFO - dags/episodes/the-granddaddy-of-all-stock-indices.mp3
[2024-07-08T00:29:37.311+0000] {podcast_summary.py:64} INFO - walmart-wayfair-and-wool.mp3
[2024-07-08T00:29:37.311+0000] {podcast_summary.py:66} INFO - dags/episodes/walmart-wayfair-and-wool.mp3
[2024-07-08T00:29:37.311+0000] {podcast_summary.py:64} INFO - the-inflation-cooldown-weve-been-waiting-for.mp3
[2024-07-08T00:29:37.311+0000] {podcast_summary.py:66} INFO - dags/episodes/the-inflation-cooldown-weve-been-waiting-for.mp3
[2024-07-08T00:29:37.311+0000] {podcast_summary.py:64} INFO - biden-hits-chinese-goods-with-new-tariffs.mp3
[2024-07-08T00:29:37.312+0000] {podcast_summary.py:66} INFO - dags/episodes/biden-hits-chinese-goods-with-new-tariffs.mp3
[2024-07-08T00:29:37.312+0000] {podcast_summary.py:64} INFO - consumer-sentiment-slumps.mp3
[2024-07-08T00:29:37.312+0000] {podcast_summary.py:66} INFO - dags/episodes/consumer-sentiment-slumps.mp3
[2024-07-08T00:29:37.312+0000] {podcast_summary.py:64} INFO - is-the-u-s-ready-to-be-a-chipmaking-superpower.mp3
[2024-07-08T00:29:37.312+0000] {podcast_summary.py:66} INFO - dags/episodes/is-the-u-s-ready-to-be-a-chipmaking-superpower.mp3
[2024-07-08T00:29:37.312+0000] {podcast_summary.py:64} INFO - democracy-is-critical-to-prosperity-treasury-secretary-says.mp3
[2024-07-08T00:29:37.313+0000] {podcast_summary.py:66} INFO - dags/episodes/democracy-is-critical-to-prosperity-treasury-secretary-says.mp3
[2024-07-08T00:29:37.313+0000] {podcast_summary.py:64} INFO - rents-outpace-wages-in-big-cities-across-the-u-s.mp3
[2024-07-08T00:29:37.313+0000] {podcast_summary.py:66} INFO - dags/episodes/rents-outpace-wages-in-big-cities-across-the-u-s.mp3
[2024-07-08T00:29:37.313+0000] {podcast_summary.py:64} INFO - a-little-more-time-for-social-security-and-medicare-funds.mp3
[2024-07-08T00:29:37.313+0000] {podcast_summary.py:66} INFO - dags/episodes/a-little-more-time-for-social-security-and-medicare-funds.mp3
[2024-07-08T00:29:37.313+0000] {podcast_summary.py:64} INFO - job-satisfaction-survey.mp3
[2024-07-08T00:29:37.313+0000] {podcast_summary.py:66} INFO - dags/episodes/job-satisfaction-survey.mp3
[2024-07-08T00:29:37.314+0000] {podcast_summary.py:64} INFO - why-government-benefits-are-likely-to-stick-around.mp3
[2024-07-08T00:29:37.314+0000] {podcast_summary.py:66} INFO - dags/episodes/why-government-benefits-are-likely-to-stick-around.mp3
[2024-07-08T00:29:37.314+0000] {podcast_summary.py:64} INFO - breaking-ground-where-are-all-the-jobs.mp3
[2024-07-08T00:29:37.314+0000] {podcast_summary.py:66} INFO - dags/episodes/breaking-ground-where-are-all-the-jobs.mp3
[2024-07-08T00:29:37.314+0000] {podcast_summary.py:64} INFO - breaking-ground-the-plants-were-there-first.mp3
[2024-07-08T00:29:37.315+0000] {podcast_summary.py:66} INFO - dags/episodes/breaking-ground-the-plants-were-there-first.mp3
[2024-07-08T00:29:37.315+0000] {podcast_summary.py:64} INFO - a-visit-to-the-silicon-desert.mp3
[2024-07-08T00:29:37.315+0000] {podcast_summary.py:66} INFO - dags/episodes/a-visit-to-the-silicon-desert.mp3
[2024-07-08T00:29:37.315+0000] {podcast_summary.py:64} INFO - keep-on-truckin.mp3
[2024-07-08T00:29:37.315+0000] {podcast_summary.py:66} INFO - dags/episodes/keep-on-truckin.mp3
[2024-07-08T00:29:37.315+0000] {python.py:237} INFO - Done. Returned value was: None
[2024-07-08T00:29:37.315+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-07-08T00:29:37.318+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=podcast_summary, task_id=download_episodes, run_id=scheduled__2024-07-07T00:00:00+00:00, execution_date=20240707T000000, start_date=20240708T002937, end_date=20240708T002937
[2024-07-08T00:29:37.343+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-07-08T00:29:37.351+0000] {taskinstance.py:3498} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2024-07-08T00:29:37.351+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
